qblock_id,reads,k,seed,best_milli,median_milli,target_milli,winner_milli,reads_below_target,valid,beats_winner,wall_s,error
1000361,64,3,17489830426664127071,-14280000,-14210000,-14625068,0,0,0,1,2.279,
1000362,64,3,12388379667362398923,-14318000,-14236000,-14625068,0,0,0,1,2.368,
1000363,64,3,7896539158526601598,-14362000,-14308000,-14625068,0,0,0,1,2.345,
1000364,64,3,7750352194382446437,-14346000,-14274000,-14625068,0,0,0,1,2.318,
1000365,64,3,16625691770175508229,-14362000,-14272000,-14625068,0,0,0,1,2.409,
1000366,64,3,17261040491906653128,-14290000,-14246000,-14625068,0,0,0,1,2.276,
1000367,64,3,6087007975823511474,-14322000,-14230000,-14625068,0,0,0,1,2.289,
1000368,64,3,6229849291330470514,-14382000,-14300000,-14625068,0,0,0,1,2.414,
1000369,64,3,11822869823440711141,-14268000,-14196000,-14625068,0,0,0,1,2.429,
1000370,64,3,11161359171964255058,-14390000,-14326000,-14625068,0,0,0,1,2.409,
1000371,64,3,4430171755903985875,-14256000,-14176000,-14625068,0,0,0,1,2.347,
1000372,64,3,13782797520533573524,-14252000,-14182000,-14625068,0,0,0,1,2.318,
1000373,64,3,261133734381107015,-14278000,-14208000,-14625068,0,0,0,1,2.359,
1000374,64,3,10102685144362874047,-14374000,-14320000,-14625068,0,0,0,1,2.321,
1000375,64,3,633508517569330923,-14322000,-14254000,-14625068,0,0,0,1,2.225,
1000376,64,3,17837310247849322732,-14278000,-14218000,-14625068,0,0,0,1,3.102,
1000377,64,3,15293184265915996027,-14310000,-14228000,-14625068,0,0,0,1,3.058,
1000378,64,3,5849215893667664626,-14344000,-14278000,-14625068,0,0,0,1,2.236,
1000379,64,3,11341619213681447159,-14292000,-14212000,-14625068,0,0,0,1,2.967,
1000380,64,3,10109362728894910361,-14344000,-14246000,-14625068,0,0,0,1,2.953,
1000381,64,3,13745771565749752190,-14292000,-14214000,-14625068,0,0,0,1,3.051,
1000382,64,3,18229515409410240034,-14364000,-14308000,-14625068,0,0,0,1,2.949,
1000383,64,3,702252059280708185,-14358000,-14288000,-14625068,0,0,0,1,2.222,
1000384,64,3,1285644816603133466,-14380000,-14280000,-14625068,0,0,0,1,2.386,
1000385,64,3,14965135365801398866,-14300000,-14232000,-14625068,0,0,0,1,2.369,
1000386,64,3,17685313539323846380,-14382000,-14322000,-14625068,0,0,0,1,2.445,
1000387,64,3,16894985687950722140,-14312000,-14252000,-14625068,0,0,0,1,2.323,
1000388,64,3,9607630753839791748,-14308000,-14212000,-14625068,0,0,0,1,2.427,
1000389,64,3,4591134747322480829,-14298000,-14212000,-14625068,0,0,0,1,2.362,
1000390,64,3,13391740069573900774,-14362000,-14266000,-14625068,0,0,0,1,2.304,
1000391,64,3,11728418232701359424,-14286000,-14192000,-14625068,0,0,0,1,2.237,
1000392,64,3,6905938873420621385,-14250000,-14184000,-14625068,0,0,0,1,2.458,
1000393,64,3,2474164438425939753,-14384000,-14314000,-14625068,0,0,0,1,2.418,
1000394,64,3,10406770720186950625,-14276000,-14186000,-14625068,0,0,0,1,2.36,
1000395,64,3,8308214641671397910,-14320000,-14266000,-14625068,0,0,0,1,2.299,
1000396,64,3,16631428024214072106,-14228000,-14170000,-14625068,0,0,0,1,2.359,
1000397,64,3,1855630572449752904,-14358000,-14298000,-14625068,0,0,0,1,2.378,
1000398,64,3,12415552687949004324,-14378000,-14294000,-14625068,0,0,0,1,2.403,
