nonce,seed,best_256x65536,median_256x65536,below_256x65536
116,6eb727cca442f22c80e3bfbde9634349477cc2056ed299747f0920f44f77ae3b,-14546000,-14506000,0
117,203a1bfc020e02545484c190f1e5acbf5c92b3575114d8c778e243afbd4d6cf1,-14566000,-14522000,0
118,b29ee979005d73fa0fa1b572ce95c2798d6903241d4372711eac9c2b1323c7b1,-14542000,-14498000,0
119,2113301f2f8f0cf0479be0b9cda00b1db16bbf9e64a07c0e26d962a789f9ec3c,-14546000,-14504000,0
120,333d4e24976af9e5898d3dc55d653f7bd2b4c1e98af4387e3b43933c2b8fab95,-14550000,-14510000,0
121,4e53ad4c8c895aa0681ad9e10b7cba5c5c32a9c712307cff387751c074c8e051,-14536000,-14500000,0
122,7f96b009258ec4a093886f2cde55f86f4213435cfde26f4be4059fdf498191e5,-14554000,-14510000,0
123,1d4a06bfb35e2a0cc9613b13537070e54a45689de8c98c2640876a1024842ccd,-14550000,-14508000,0
124,baf669a4a70bfa6fd7cb2558c37d7aeb80959d45d14f5f80abce95af2b482e32,-14560000,-14506000,0
125,6b5cfe3375463dce13daa559cddcab696775ecfb52313a344d143003a71912ef,-14548000,-14508000,0
126,92309b1750b7641e73628cf31cc60fd87786d3a9a68a36a1bb5cd9597d5ac546,-14530000,-14500000,0
127,ed2d84fb21a04425f6fe2921e4a7fd8c8bd0dc3d13187c7bea2b56a1536e21ff,-14554000,-14508000,0
128,940eefabcf29843b89f5bbc558fad6f122c038e4d311949c22f980a7079a8f7d,-14550000,-14508000,0
129,15afcd2a4f2226f60b510710ba7c3a03697d0075637bbb85d307fef35843d39c,-14550000,-14508000,0
130,ac7440adde425fec455f18f07c03bc38bb1e71394b3228cd46321fb4e93668e5,-14534000,-14496000,0
131,e53a512e1f3a0da2d081bfa055049181d38a82c16b2f1cae065bf59107fa4c40,-14542000,-14500000,0
132,80f95a218f91a0f9732c706e633ad844ebb0ff50511d17bd4a153b117e3a40c4,-14568000,-14512000,0
133,2da7a77d00e6bb78238316e6c6debc38e506d4333cb62236a8b73e51fb866894,-14542000,-14504000,0
134,7b574b8044729722157f5b8f6bbf5476abac2eb8ec7f419a32bb04c9f9efa696,-14560000,-14524000,0
135,42ac19c2f62affd89acf4a03ad897b5f85fc062b8e113d453c7007c9b99f4c7c,-14554000,-14512000,0
136,de6555b9ebde0c1d9578ef661825f9922423a6444a981a8c62260771f98c5330,-14548000,-14506000,0
137,5a53cd10b2f545b17c5f2b53628b65aec256319befbf3dbaefc4542b0589fa95,-14532000,-14488000,0
138,6bf4dac35dcc05fe433beba614c89c96f55deae970c461cf0e540c91df74fefb,-14540000,-14502000,0
139,bc2a932b768e0bf6e9238b01204dee05eeefe198f057c47eb1173453c9c81895,-14536000,-14494000,0
140,9e0ca046c131d32807abb33b5c1438d091ed6cc191c00e3b0a7073c483894060,-14554000,-14516000,0
141,68b04440f321c26c0823f567a2f27d4a4e0b8f6c0619812fd8064dafc4d2c522,-14446000,-14396000,0
142,c7a7c27b9e8f789e4833f485af905b222e09c633e5bf4ca9bc0e7ed4a2eb90cd,-14408000,-14364000,0
143,bd459e0d80a1678576b64fce344a526f9a74c42bba7fedd2f39afb158c4e8e60,-14420000,-14380000,0
144,2687545109f5ef84a82763c9fb4e81ffe70b0315228e82c03014f75835a05212,-14420000,-14390000,0
145,e0b5eefae92d7dc78b101c65851a27476a6a177ecc0caa173e9e00b2f1f88e9e,-14364000,-14334000,0
146,2c95ef21e5ef9b700681e0609640e30784c129e7d0a708b00773a9520d373c19,-14432000,-14396000,0
147,909e998a4f6cf279ad096393546a5ee0fe044e8aacd6df8e7767aa4ee25337d2,-14410000,-14364000,0
148,4387f45df2ab17f28dde9ce9819a7f6070e449deaed5f363b86b72fa7fd8821d,-14378000,-14332000,0
149,dd9b361bd1cd1cbcaaa189e4d1ec38636998cf61db379f55193dd52d9b3ca894,-14410000,-14366000,0
150,d5b3e3ff6a5463dbf2216ee7959e8e1f31c17451113cbdf9f344263f9305a48e,-14410000,-14366000,0
151,df5201df77b8a83eba07c4d570bad4373521f387bb1ec88a372a7c3cbd803f29,-14374000,-14334000,0
